BUSSINES NAME;CUIT;SUB ITEMS - U.P. U$S;SUB ITEMS - U.P. CURRENCY;SUB ITEMS - QUANTITY;SUB ITEMS - FOB U$S;SUB ITEMS - FOB CURRENCY;SHIPMENT CURRENCY;COUNTRY OF ORIGIN ;COUNTRY OF PROVENANCE;CUSTOMS;TRANSPORTATION;DATE;SHIPPING;ITEM;SUB ITEMS - SUBITEM;TARIFF POSITION;POSITION DESCRIPTION;QUANTITY SUBITEMS;SUB ITEMS - ITEM CODE;SUB ITEMS - SUFFIXES;DOCUMENT TYPE;SHIPMENT TYPE;DESTINATION TYPE;HARBOR;FOB VALUE U$S;VALUE FOB CURRENCY;AVERAGE U.P. U$S;AVERAGE U.P. CURRENCY;FREIGHT VALUE U$S;VALUE FREIGHT CURRENCY;INSURANCE VALUE U$S;CURRENCY INSURANCE VALUE;CIF VALUE U$S;EXCHANGE RATE;AMOUNT VALUE;MEASUREMENT;VALUE QUANTITY KILOS;TAXABLE INCOME;MOMENT DATE;FOB CURRENCY;NET KGS VALUE;BRANCH;DECLARATION STATUS;CONDITION;CONDITION OF SALE;ITEM TYPE;WRITES
OVNISA S.A.;30586628891;13.76;13.76;20;275.25;275.25;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;1;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0230 136 00;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000070 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 002000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;11.45;11.45;10;114.52;114.52;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;2;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0265 115 03;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000064 - (ZB) ANCHURA EN CM.: 000115 - (ZC) LONGITUD EN CM.: 001000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;16.64;16.64;40;665.4;665.4;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;3;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0300 148 12;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000056 - (ZB) ANCHURA EN CM.: 000148 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;16.64;16.64;50;831.75;831.75;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;4;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0315 158 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000054 - (ZB) ANCHURA EN CM.: 000158 - (ZC) LONGITUD EN CM.: 005000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;60;825.75;825.75;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;5;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0335 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000052 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 006000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;6;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0355 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000050 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;7;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0375 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000047 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;8;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0425 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000044 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;9;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0465 136 02;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000040 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
OVNISA S.A.;30586628891;13.76;13.76;40;550.5;550.5;DOLAR ESTADOUNIDENSE;RUMANIA;SUIZA;EZEIZA;AVIÓN;31/12/2021;21073IC04153533T;2;10;5911.20.10.000E;DE MATERIA TEXTIL SINTÉTICA O ARTIFICIAL, EN PIEZA;;3A07 0500 136 05;SEFAR (AJ) PRESENTACION: ROLLO - (NA00) - (NB00) - (ZA) GRAMAJE EN G/M2.: 000038 - (ZB) ANCHURA EN CM.: 000136 - (ZC) LONGITUD EN CM.: 004000;IC04;IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE;DEFINITIVOS;NO DETERMINADO;19129.84;19129.84;14.17;14.17;183.82;5654.28;183.82;183.82;19497.48;1;1350;METROS;0;0;31/12/2021;DOL;99;NO DETERMINADO;OFICIALIZADA;NUEVO SIN USO;NO DETERMINADO;NORMAL;(010) DERECHOS IMPORTACION - TIPO OBLIGACION: P - MONTO: 3400.54 - BASE: 0.00 - COEFIECIENTE: 0.00
